group	block1group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
4	6	skis	sk	-1	tee-skis1.wav	boo-sEkis1.wav	med_epen	tee	1
6	4	slide	sl	2	tee-slide2.wav	boo-sElide1.wav	med_epen	tee	1
2	8	slide	sl	2	tee-slide2.wav	boo-sElide1.wav	med_epen	tee	1
6	7	smoke	sm	1	tee-smoke2.wav	boo-sEmoke1.wav	med_epen	tee	1
2	3	smoke	sm	1	tee-smoke2.wav	boo-sEmoke1.wav	med_epen	tee	1
3	2	snake	sn	1	tee-snake2.wav	boo-sEnake2.wav	med_epen	tee	1
7	6	snake	sn	1	tee-snake2.wav	boo-sEnake2.wav	med_epen	tee	1
3	6	snowman	sn	1	tee-snowman2.wav	boo-sEnowman2.wav	med_epen	tee	2
7	2	snowman	sn	1	tee-snowman2.wav	boo-sEnowman2.wav	med_epen	tee	2
2	7	spoon	sp	-1	tee-spoon2.wav	boo-sEpoon2.wav	med_epen	tee	1
6	3	spoon	sp	-1	tee-spoon2.wav	boo-sEpoon2.wav	med_epen	tee	1
6	5	swing	sw	3	tee-swing1.wav	boo-sEwing2.wav	med_epen	tee	1
2	1	swing	sw	3	tee-swing1.wav	boo-sEwing2.wav	med_epen	tee	1
1	2	slide	sl	2	tee-slide2.wav	boo-side1.wav	med_del	tee	1
5	6	slide	sl	2	tee-slide2.wav	boo-side1.wav	med_del	tee	1
8	7	swing	sw	3	tee-swing1.wav	boo-sing1.wav	med_del	tee	1
4	3	swing	sw	3	tee-swing1.wav	boo-sing1.wav	med_del	tee	1
3	4	skis	sk	-1	tee-skis1.wav	boo-sis2.wav	med_del	tee	1
7	8	skis	sk	-1	tee-skis1.wav	boo-sis2.wav	med_del	tee	1
1	5	smoke	sm	1	tee-smoke2.wav	boo-soke2.wav	med_del	tee	1
5	1	smoke	sm	1	tee-smoke2.wav	boo-soke2.wav	med_del	tee	1
1	5	spoon	sp	-1	tee-spoon2.wav	boo-soon3.wav	med_del	tee	1
5	1	spoon	sp	-1	tee-spoon2.wav	boo-soon3.wav	med_del	tee	1
6	8	snowman	sn	1	tee-snowman2.wav	boo-sowman1.wav	med_del	tee	2
